Name,Slug
nomiswap,nomiswap
radioshack (cronos),radioshack-cronos
duckydefi,duckydefi
amaterasu finance,amaterasu
dystopia,dystopia
acala swap,acalaswap
karura swap,karuraswap
flatqube exchange,flatqube
woofi,woofi
minswap,minswap
bit.team,bit-team
iziswap,iziswap
frax finance fraxswap,fraxswap
swych,swych
fstswap,fstswap
pandora,pandora-swap
defi swap,defi-swap
swapsicle,swapsicle
pexpay,pexpay
hermes protocol,hermes-protocol
kyberswap elastic (polygon),kyberswap-elastic-polygon
baryon network,baryon-network
kyberswap elastic (optimism),kyberswap-elastic-optimism
kyberswap elastic (avalanche),kyberswap-elastic-avalanche
kyberswap elastic (arbitrum),kyberswap-elastic-arbitrum
dooar (ethereum),dooar-ethereum
dooar (bsc),dooar-bnb-smart-chain
mm finance (polygon),mm-finance-polygon
mango markets,mango-markets
kujira fin,kujira-fin
velodrome,velodrome
yodeswap,yodeswap
kaidex (v3),kaidex-v3
canto dex,canto-dex
quickswap(dogechain),quickswap-dogechain
kyberswap elastic (bsc),kyberswap-elastic-bnb-chain
slingshot,slingshot
zigzag (arbitrum),zigzag-arbitrum
kaddex,kaddex
swapr (arbitrum),swapr-arbitrum
decaswap,decaswap
nskswap,nskswap
leonicorn swap,leonicornswap
saitaswap,saitaswap
alita finance,alita-finance
fraxswap (polygon),fraxswap-polygon
fraxswap (avalanche),fraxswap-avalanche
fraxswap (arbitrum),fraxswap-arbitrum
kyberswap elastic (fantom),kyberswap-elastic-fantom
fraxswap (fantom),fraxswap-fantom
magicswap,magicswap
okc swap,okc-swap
kyberswap elastic (ethereum),kyberswap-elastic-ethereum
bored candy city,bored-candy-city
nomiswap (stable),nomiswap-stable
dao swap,dao-swap
openswap optimism,openswap-optimisim
wombat exchange,wombat-exchange
apeswap (telos),apeswap-telos
baby doge swap,baby-doge-swap
difx,difx
alex,alex
icrypex,icrypex
lfgswap finance,lfgswap-finance
uniwswap,uniwswap
pancakeswap (ethereum),pancakeswap-ethereum
soy finance,soy-finance
quickswap (v3),quickswap-v3
liquidswap,liquidswap
clipper (polygon),clipper-polygon
clipper (optimism),clipper-optimism
pancakeswap (aptos),pancakeswap-aptos
animeswap,animeswap
aux exchange,aux-exchange
camelot,camelot
3xcalibur,3xcalibur
xcad dex,xcad-dex
atodex,atodex
superex,superex
swapr (gnosis),swapr-gnosis
kibbleswap,kibbleswap
diffusion finance,diffusion-finance
orderly network,orderly-network
